3.4000e-05 2.7325e+00 1.4151e-03 5.0617e-01
3.5116e-05 2.8190e+00 1.5095e-03 4.5942e-01
3.6269e-05 2.9082e+00 1.6102e-03 4.1699e-01
3.7460e-05 3.0003e+00 1.7177e-03 3.7848e-01
3.8689e-05 3.0953e+00 1.8323e-03 3.4352e-01
3.9959e-05 3.1932e+00 1.9546e-03 3.1180e-01
4.1271e-05 3.2943e+00 2.0850e-03 2.8300e-01
4.2626e-05 3.3986e+00 2.2241e-03 2.5686e-01
4.4025e-05 3.5062e+00 2.3725e-03 2.3314e-01
4.5471e-05 3.6172e+00 2.5309e-03 2.1161e-01
4.6963e-05 3.7317e+00 2.6997e-03 1.9207e-01
4.8505e-05 3.8498e+00 2.8799e-03 1.7433e-01
5.0097e-05 3.9716e+00 3.0721e-03 1.5823e-01
5.1742e-05 4.0973e+00 3.2771e-03 1.4361e-01
5.3441e-05 4.2270e+00 3.4957e-03 1.3035e-01
5.5195e-05 4.3608e+00 3.7290e-03 1.1831e-01
5.7007e-05 4.4988e+00 3.9778e-03 1.0739e-01
5.8878e-05 4.6412e+00 4.2433e-03 9.7468e-02
6.0811e-05 4.7881e+00 4.5264e-03 8.8466e-02
6.2808e-05 4.9396e+00 4.8285e-03 8.0296e-02
6.4869e-05 5.0960e+00 5.1506e-03 7.2880e-02
6.6999e-05 5.2572e+00 5.4943e-03 6.6149e-02
6.9198e-05 5.4236e+00 5.8609e-03 6.0040e-02
7.1470e-05 5.5952e+00 6.2520e-03 5.4495e-02
7.3816e-05 5.7723e+00 6.6692e-03 4.9462e-02
7.6240e-05 5.9549e+00 7.1141e-03 4.4894e-02
7.8742e-05 6.1433e+00 7.5888e-03 4.0748e-02
8.1327e-05 6.3377e+00 8.0952e-03 3.6985e-02
8.3997e-05 6.5382e+00 8.6353e-03 3.3569e-02
8.6755e-05 6.7450e+00 9.2114e-03 3.0469e-02
8.9603e-05 6.9584e+00 9.8260e-03 2.7655e-02
9.2544e-05 7.1785e+00 1.0482e-02 2.5101e-02
9.5582e-05 7.4055e+00 1.1181e-02 2.2782e-02
9.8720e-05 7.6397e+00 1.1927e-02 2.0678e-02
1.0196e-04 7.8814e+00 1.2723e-02 1.8769e-02
1.0531e-04 8.1306e+00 1.3571e-02 1.7035e-02
1.0876e-04 8.3877e+00 1.4477e-02 1.5462e-02
1.1234e-04 8.6529e+00 1.5442e-02 1.4034e-02
1.1602e-04 8.9264e+00 1.6473e-02 1.2738e-02
1.1983e-04 9.2086e+00 1.7572e-02 1.1561e-02
1.2377e-04 9.4997e+00 1.8744e-02 1.0494e-02
1.2783e-04 9.7999e+00 1.9994e-02 9.5245e-03
1.3203e-04 1.0110e+01 2.1328e-02 8.6449e-03
1.3636e-04 1.0429e+01 2.2750e-02 7.8465e-03
1.4084e-04 1.0759e+01 2.4268e-02 7.1218e-03
1.4546e-04 1.1098e+01 2.5886e-02 6.4641e-03
1.5023e-04 1.1449e+01 2.7613e-02 5.8671e-03
1.5517e-04 1.1811e+01 2.9454e-02 5.3252e-03
1.6026e-04 1.2183e+01 3.1418e-02 4.8334e-03
1.6552e-04 1.2568e+01 3.3514e-02 4.3870e-03
1.7095e-04 1.2965e+01 3.5748e-02 3.9819e-03
1.7657e-04 1.3374e+01 3.8132e-02 3.6141e-03
1.8236e-04 1.3796e+01 4.0675e-02 3.2803e-03
1.8835e-04 1.4231e+01 4.3386e-02 2.9774e-03
1.9453e-04 1.4680e+01 4.6279e-02 2.7024e-03
2.0092e-04 1.5143e+01 4.9364e-02 2.4528e-03
2.0752e-04 1.5620e+01 5.2655e-02 2.2263e-03
2.1433e-04 1.6112e+01 5.6165e-02 2.0207e-03
2.2136e-04 1.6619e+01 5.9908e-02 1.8341e-03
2.2863e-04 1.7143e+01 6.3900e-02 1.6647e-03
2.3614e-04 1.7682e+01 6.8159e-02 1.5109e-03
2.4389e-04 1.8239e+01 7.2700e-02 1.3714e-03
2.5189e-04 1.8813e+01 7.7544e-02 1.2447e-03
2.6016e-04 1.9404e+01 8.2710e-02 1.1298e-03
2.6870e-04 2.0014e+01 8.8220e-02 1.0254e-03
2.7753e-04 2.0643e+01 9.4096e-02 9.3073e-04
2.8664e-04 2.1291e+01 1.0036e-01 8.4477e-04
2.9605e-04 2.1959e+01 1.0705e-01 7.6675e-04
3.0576e-04 2.2648e+01 1.1417e-01 6.9594e-04
3.1580e-04 2.3358e+01 1.2177e-01 6.3166e-04
3.2617e-04 2.4090e+01 1.2988e-01 5.7333e-04
3.3688e-04 2.4844e+01 1.3852e-01 5.2038e-04
3.4794e-04 2.5621e+01 1.4774e-01 4.7232e-04
3.5936e-04 2.6423e+01 1.5757e-01 4.2870e-04
3.7115e-04 2.7248e+01 1.6805e-01 3.8910e-04
3.8334e-04 2.8099e+01 1.7923e-01 3.5317e-04
3.9592e-04 2.8976e+01 1.9115e-01 3.2055e-04
4.0892e-04 2.9879e+01 2.0386e-01 2.9095e-04
4.2234e-04 3.0810e+01 2.1741e-01 2.6408e-04
4.3621e-04 3.1768e+01 2.3185e-01 2.3969e-04
4.5053e-04 3.2756e+01 2.4726e-01 2.1755e-04
4.6532e-04 3.3773e+01 2.6368e-01 1.9746e-04
4.8060e-04 3.4821e+01 2.8119e-01 1.7922e-04
4.9637e-04 3.5900e+01 2.9985e-01 1.6267e-04
5.1267e-04 3.7011e+01 3.1976e-01 1.4765e-04
5.2950e-04 3.8155e+01 3.4097e-01 1.3401e-04
5.4688e-04 3.9333e+01 3.6359e-01 1.2163e-04
5.6483e-04 4.0546e+01 3.8769e-01 1.1040e-04
5.8338e-04 4.1794e+01 4.1339e-01 1.0020e-04
6.0253e-04 4.3079e+01 4.4078e-01 9.0950e-05
6.2231e-04 4.4402e+01 4.6998e-01 8.2550e-05
6.4274e-04 4.5763e+01 5.0110e-01 7.4926e-05
6.6383e-04 4.7164e+01 5.3426e-01 6.8006e-05
6.8563e-04 4.8604e+01 5.6961e-01 6.1726e-05
